Fecha,Hora,Temperatura,Humedad_relativa,Humedad_Suelo,ADT,Ks,ETr,Etiqueta
29/06/2021,19:00:00,19,69,12.42,259.6539,0.9072298476757236,2.7942679308412286,Si
29/06/2021,19:30:00,20,69,12.24,256.737,0.9093958542909364,2.8009392312160846,Si
29/06/2021,20:00:00,20,68,12.24,256.564,0.9095261953829573,2.8013406817795086,Si
29/06/2021,20:30:00,20,68,12.24,256.564,0.9095261953829573,2.8013406817795086,Si
29/06/2021,21:00:00,19,68,12.24,255.8908,0.9100354306589002,2.802909126429413,Si
29/06/2021,21:30:00,19,68,12.24,255.8908,0.9100354306589002,2.802909126429413,Si
29/06/2021,22:00:00,20,68,12.24,256.564,0.9095261953829573,2.8013406817795086,Si
29/06/2021,22:30:00,20,68,12.24,256.564,0.9095261953829573,2.8013406817795086,Si
29/06/2021,23:00:00,20,68,12.06,252.964,0.9122877036410149,2.809846127214326,Si
29/06/2021,23:30:00,20,67,12.06,252.791,0.9124228190826358,2.8102622827745183,Si
30/06/2021,00:00:00,20,67,12.06,252.791,0.9124228190826358,2.8102622827745183,Si
30/06/2021,00:30:00,20,67,12.06,252.791,0.9124228190826358,2.8102622827745183,Si
30/06/2021,01:00:00,20,67,12.06,252.791,0.9124228190826358,2.8102622827745183,Si
30/06/2021,01:30:00,20,67,12.06,252.791,0.9124228190826358,2.8102622827745183,Si
30/06/2021,02:00:00,19,68,11.88,248.6908,0.9156923140367655,2.820332327233238,Si
30/06/2021,02:30:00,20,68,11.88,249.364,0.9151465032980369,2.818651230157954,Si
30/06/2021,03:00:00,20,68,11.7,245.764,0.9181078280966706,2.8277721105377456,Si
30/06/2021,03:30:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,04:00:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,04:30:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,05:00:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,05:30:00,20,67,12.06,252.791,0.9124228190826358,2.8102622827745183,Si
30/06/2021,06:00:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,06:30:00,20,68,11.88,249.364,0.9151465032980369,2.818651230157954,Si
30/06/2021,07:00:00,20,68,11.88,249.364,0.9151465032980369,2.818651230157954,Si
30/06/2021,07:30:00,20,69,11.88,249.537,0.9150068202819049,2.8182210064682676,Si
30/06/2021,08:00:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,08:30:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,09:00:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,09:30:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,10:00:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,10:30:00,20,67,11.7,245.591,0.9182528129377688,2.8282186638483284,Si
30/06/2021,11:00:00,20,67,11.88,249.191,0.915286423005911,2.819082182858206,Si
30/06/2021,11:30:00,20,68,11.88,249.364,0.9151465032980369,2.818651230157954,Si
30/06/2021,12:00:00,20,68,11.7,245.764,0.9181078280966706,2.8277721105377456,Si
30/06/2021,12:30:00,20,69,11.7,245.937,0.917963092909718,2.827326326161932,Si
30/06/2021,13:00:00,20,67,11.7,245.591,0.9182528129377688,2.8282186638483284,Si
30/06/2021,13:30:00,20,67,11.7,245.591,0.9182528129377688,2.8282186638483284,Si
30/06/2021,14:00:00,23,70,18.0,374.651,0.8523810029394724,2.6253334890535753,Si
30/06/2021,14:30:00,23,70,17.82,371.051,0.8535114138585681,2.62881515468439,Si
30/06/2021,15:00:00,23,70,11.88,252.251,0.9128460176307953,2.81156573430285,Si
30/06/2021,15:30:00,23,70,14.85,311.651,0.876569935983739,2.6998354028299163,Si
30/06/2021,16:00:00,23,70,13.86,291.851,0.8867221522294825,2.7311042288668066,Si
30/06/2021,16:30:00,21,69,5.52,123.1512,1.181855173049166,3.6401139329914316,No
30/06/2021,17:00:00,21,69,9.6,204.7512,0.9612660186590147,2.9606993374697654,Si
30/06/2021,17:30:00,21,69,6.0,132.7512,1.1346101249897436,3.4945991849684104,No
30/06/2021,18:00:00,20,70,7.8,168.11,1.0241450735114939,3.1543668264154014,No
30/06/2021,18:30:00,20,71,9.35,199.283,0.9687538484473337,2.9837618532177883,Si
30/06/2021,19:00:00,20,71,7.8,168.283,1.023760372476335,3.1531819472271114,No
30/06/2021,19:30:00,20,71,8.1,174.283,1.011055204473906,3.1140500297796314,No
30/06/2021,20:00:00,20,72,10.98,232.05599999999998,0.9304272517321016,2.865715935334873,Si
30/06/2021,20:30:00,20,72,8.54,183.256,0.9941123712533272,3.061866103460248,No
30/06/2021,21:00:00,20,73,7.98,172.22899999999998,1.0152697105219721,3.1270307084076743,No
30/06/2021,21:30:00,20,73,7.44,161.429,1.039876233584416,3.2028187994400015,No
30/06/2021,22:00:00,20,73,10.8,228.629,0.933794498690294,2.8760870559661056,Si
30/06/2021,22:30:00,20,73,8.4,180.629,0.9988405871900551,3.07642900854537,No
30/06/2021,23:00:00,20,73,10.37,220.029,0.9428251889686852,2.9039015820235505,Si
30/06/2021,23:30:00,20,73,8.45,181.629,0.997019300441341,3.0708194453593305,No
1/07/2021,00:00:00,20,73,8.54,183.429,0.9938072947142578,3.060926467719914,No
1/07/2021,00:30:00,20,74,10.71,227.00199999999998,0.9354375226645861,2.8811475698069255,Si
1/07/2021,01:00:00,20,74,7.56,164.00199999999998,1.0336086788457337,3.1835147308448604,No
1/07/2021,01:30:00,20,74,9.76,208.00199999999998,0.9570526742003165,2.947722236536975,Si
