Fecha,Hora,Temperatura,Humedad_relativa,Humedad_Suelo,ADT,Ks,ETr,Etiqueta
30/06/2021,07:30:00,20,69,11.88,249.537,0.99,17.74285714,Si
30/06/2021,08:00:00,20,67,11.88,249.191,0.96,17.22857143,Si
30/06/2021,08:30:00,20,67,11.88,249.191,0.96,17.22857143,Si
30/06/2021,09:00:00,20,67,11.88,249.191,0.96,17.22857143,Si
30/06/2021,09:30:00,20,67,11.88,249.191,0.96,17.22857143,Si
30/06/2021,10:00:00,20,67,11.88,249.191,0.96,17.22857143,Si
30/06/2021,10:30:00,20,67,11.7,245.591,0.96,17.22857143,Si
30/06/2021,11:00:00,20,67,11.88,249.191,0.96,17.22857143,Si
30/06/2021,11:30:00,20,68,11.88,249.364,0.97,17.48571429,Si
30/06/2021,12:00:00,20,68,11.7,245.764,0.97,17.48571429,Si
30/06/2021,12:30:00,20,69,11.7,245.937,0.99,17.74285714,Si
30/06/2021,13:00:00,20,67,11.7,245.591,0.96,17.22857143,Si
30/06/2021,13:30:00,20,67,11.7,245.591,0.96,17.22857143,Si
30/06/2021,14:00:00,23,70,18,376.1,1,18,No
30/06/2021,14:30:00,23,70,17.82,372.5,1,18,No
30/06/2021,15:00:00,23,70,11.88,253.7,1,18,No
30/06/2021,15:30:00,23,70,14.85,313.1,1,18,No
30/06/2021,16:00:00,23,70,13.86,293.3,1,18,No
30/06/2021,16:30:00,21,69,5.52,126.27,0.99,17.74285714,Si
30/06/2021,17:00:00,21,69,9.6,207.87,0.99,17.74285714,Si
30/06/2021,17:30:00,21,69,6,135.87,0.99,17.74285714,Si
30/06/2021,18:00:00,20,70,7.8,168.11,1,18,No
30/06/2021,18:30:00,20,71,9.35,199.283,1.01,18.25714286,No
30/06/2021,19:00:00,20,71,7.8,168.283,1.01,18.25714286,No
30/06/2021,19:30:00,20,71,8.1,174.283,1.01,18.25714286,No
30/06/2021,20:00:00,20,72,10.98,232.056,1.03,18.51428571,No
30/06/2021,20:30:00,20,72,8.54,183.256,1.03,18.51428571,No
